question,context,answer,good?,validated by
What does the Organization API provide?,,"The Organization API provides endpoints to retrieve organization data, such as projects and requests. It allows users to fetch project details and export request data. Key functionalities include:

- Getting the list of assistants
- Getting the list of projects
- Getting details about a specific project
- Creating and updating projects
- Deleting projects
- Getting the list of tokens for a project
- Exporting request data

Additionally, it requires a Globant Enterprise AI API token related to **organization** scope for authentication [1](https://wiki.genexus.com/enterprise-ai/wiki?22). 

 22 https://wiki.genexus.com/enterprise-ai/wiki?22
 20 https://wiki.genexus.com/enterprise-ai/wiki?20
 42 https://wiki.genexus.com/enterprise-ai/wiki?42
 42 https://wiki.genexus.com/enterprise-ai/wiki?42",OK,lsilveira
What does the 'score' element in the response indicate?,,"The 'score' element in the response indicates the semantic similarity between the `question` and the associated `pageContent`. It is a value ranging from 0 to 1, where 1 signifies the closest match. This score helps to assess how relevant the retrieved content is to the question posed. If available, the `score` can provide insight into the quality of the response based on the content's alignment with the query. More details can be found in the context of the Chat with Documents API [3](https://wiki.genexus.com/enterprise-ai/wiki?33). 

 445 https://wiki.genexus.com/enterprise-ai/wiki?445
 70 https://wiki.genexus.com/enterprise-ai/wiki?70
 33 https://wiki.genexus.com/enterprise-ai/wiki?33
 407 https://wiki.genexus.com/enterprise-ai/wiki?407
",OK,lsilveira
What is required to use the endpoints,,"To use the endpoints of the Globant Enterprise AI APIs, you need a Globant Enterprise AI API token that is related to the appropriate scope. Specifically:

1. **RAG Assistants API**: Requires an API token related to **project** scope.
2. **Assistant API**: Also requires an API token related to **project** scope.
3. **Organization API**: Requires an API token related to **organization** scope.
4. **Chat with Documents API**: Requires an API token related to **project** scope.

You can check the generic variables needed for authentication across these APIs.

References:
- [RAG Assistants API](https://wiki.genexus.com/enterprise-ai/wiki?29)
- [Assistant API](https://wiki.genexus.com/enterprise-ai/wiki?35)
- [Organization API](https://wiki.genexus.com/enterprise-ai/wiki?22)
- [Chat with Documents API](https://wiki.genexus.com/enterprise-ai/wiki?33) 

 29 https://wiki.genexus.com/enterprise-ai/wiki?29
 35 https://wiki.genexus.com/enterprise-ai/wiki?35
 22 https://wiki.genexus.com/enterprise-ai/wiki?22
 149 https://wiki.genexus.com/enterprise-ai/wiki?149
 33 https://wiki.genexus.com/enterprise-ai/wiki?33",OK,lsilveira
What type of input can be provided to the Embeddings API?,,"The Embeddings API accepts input in the following formats:

1. **Single String**: You can provide a single string as input to embed.
2. **Array of Strings**: You can also pass an array of strings to embed multiple inputs in a single request.

The input text must be encoded as a string and cannot exceed the maximum input tokens for the selected model. Additionally, it cannot be an empty string.

For example, the input can be structured like this:
- For a single string:
```json
{ ""model"": ""openai/text-embedding-3-small"", ""input"" : ""Help me with Globant Enterprise AI!"" }
```
- For multiple strings:
```json
{ ""model"": ""openai/text-embedding-3-small"", ""input"" : [""Help me with"", ""Globant Enterprise AI!""] }
```

This information can be found in the documentation for the Embeddings API [here](https://wiki.genexus.com/enterprise-ai/wiki?422). 

 447 https://wiki.genexus.com/enterprise-ai/wiki?447
 422 https://wiki.genexus.com/enterprise-ai/wiki?422
",OK,lsilveira
How do you upload a file using the File API?,,"To upload a file using the File API, follow these steps:

1. **Choose the File API Endpoint**: Use the `POST /files` endpoint to upload your file.

2. **Prepare Your Request**: You will need to include the required headers and parameters:
   - **Authorization**: Use your Bearer token for authentication.
   - **fileName**: (optional) Specify the name of the file you want to reference later.
   - **organizationId**: Your organization ID.
   - **projectId**: Your project ID.
   - **folder**: (optional) Specify a destination folder; if not provided, the file will be saved temporarily.

3. **Sample cURL Command**:
   ```bash
   curl -X POST ""$BASE_URL/v1/files"" \
   -H ""Authorization: Bearer $SAIA_PROJECT_APITOKEN"" \
   -H ""Accept: application/json"" \
   -H ""fileName: $FILE_NAME"" \
   -H ""organizationId: $ORGANIZATION_ID"" \
   -H ""projectId: $PROJECT_ID"" \
   -H ""folder: $FOLDER"" \
   -F ""file=@/path/to/file.txt""
   ```

4. **Check the Response**: After submitting your request, you will receive a response confirming the success of the operation. A successful response will look like this:
   ```json
   { ""dataFileId"": ""string"", ""dataFileUrl"": ""string"", ""success"": true }
   ```

5. **Referencing the File**: Once the file is successfully uploaded, you can reference it in subsequent requests by the name you specified or the original name of the uploaded file, if you did not specify a file name.

For more information, you can refer to the detailed steps in the File API documentation [here](https://wiki.genexus.com/enterprise-ai/wiki?450). 

 346 https://wiki.genexus.com/enterprise-ai/wiki?346
 202 https://wiki.genexus.com/enterprise-ai/wiki?202
 454 https://wiki.genexus.com/enterprise-ai/wiki?454
 450 https://wiki.genexus.com/enterprise-ai/wiki?450",OK,lsilveira
How can you retrieve the content of a file?,,"To retrieve the content of a file, you can use the `GET /{fileId}/content` endpoint of the File API. This endpoint requires a GeneXus Enterprise AI API token related to your organization scope. Here is how you can do it:

### Parameters:
- `organization`: Your Organization Id.
- `project`: Your Project Id.
- `fileId`: The Id of the file you want to retrieve.

### Sample cURL Command:
```bash
curl -X GET ""$BASE_URL/v1/{fileId}/content"" \
-H ""Authorization: Bearer $SAIA_APITOKEN"" \
-H ""Accept: application/json"" \
-G -d ""organization=$ORGANIZATION_ID"" \
-d ""project=$PROJECT_ID""
```

### Response:
You will receive a response containing the file content in the following JSON format:
```json
{ ""content"": ""string"" }
```

For more detailed information, you can refer to the documentation on the [File API](https://wiki.genexus.com/enterprise-ai/wiki?450). 

 346 https://wiki.genexus.com/enterprise-ai/wiki?346
 454 https://wiki.genexus.com/enterprise-ai/wiki?454
 205 https://wiki.genexus.com/enterprise-ai/wiki?205
 450 https://wiki.genexus.com/enterprise-ai/wiki?450
 345 https://wiki.genexus.com/enterprise-ai/wiki?345",OK,lsilveira
What types of assistants can be integrated with Flows?,,"Flows allow the integration of several types of assistants, including:

- **Data Analyst Assistant**
- **API Assistant**
- **Chat with Data Assistant**
- **RAG Assistant**

This enables the development of conversational solutions that can draw on various functionalities simultaneously, providing enriched interactions with end users. For more details, you can refer to the Flows in Globant Enterprise AI documentation [here](https://wiki.genexus.com/enterprise-ai/wiki?321). 

 31 https://wiki.genexus.com/enterprise-ai/wiki?31
 321 https://wiki.genexus.com/enterprise-ai/wiki?321
 384 https://wiki.genexus.com/enterprise-ai/wiki?384
 322 https://wiki.genexus.com/enterprise-ai/wiki?322
 363 https://wiki.genexus.com/enterprise-ai/wiki?363",,
How does the Conditional component function in the Flow?,,"The Conditional component in a Flow functions by allowing the evaluation of user queries to determine which assistant is most appropriate to respond. Here's how it works:

1. **Branching Logic**: When you add a Conditional component, it creates a branch with two paths: one labeled ""If"" and the other labeled ""Else."" This structure enables evaluation of a condition and directs the flow based on the result.

2. **Adding Conditions**: You can add additional conditions by using the ""Add condition"" option. Each condition is evaluated using Expression nodes that allow for different conditional expressions.

3. **Evaluating Variables**: To evaluate conditions, you can incorporate variables (like `orchestrationResponse`) to determine which assistant to direct the flow to. Depending on the value of this variable, the flow can branch to the appropriate assistant, such as redirecting to the Movie Ticket Assistant or the Mall Shops Catalog.

4. **Message Handling**: In cases where the conditions are not met, the flow can continue through the Else branch, where a default action (like sending a message back to the user) is implemented. This ensures users receive appropriate responses regardless of whether their query matches specific conditions.

5. **Response Flow**: After processing the query, the flow can return to the User Input node, facilitating a continuous conversation with the user.

This mechanism allows for a more interactive and responsive experience, adapting to user inputs effectively. 

For more detailed steps and visuals, you can refer to [this guide](https://wiki.genexus.com/enterprise-ai/wiki?363). 

 363 https://wiki.genexus.com/enterprise-ai/wiki?363
 371 https://wiki.genexus.com/enterprise-ai/wiki?371
 363 https://wiki.genexus.com/enterprise-ai/wiki?363
 8 https://wiki.genexus.com/enterprise-ai/wiki?8",,
How do you reference a file in a prompt?,,"To reference a file in a prompt, you can use the following syntax: `{file:filename}`. For example, if you have a file named ""report.pdf"", you would write it as `{file:report}`. This format allows you to include the file directly in your prompt for the model to process.

It's important to note that this reference format only works for files that have already been uploaded to your project. If you're uploading a file for the first time, you need to use the standard file upload mechanism within the platform [3](https://wiki.genexus.com/enterprise-ai/wiki?345). 

 346 https://wiki.genexus.com/enterprise-ai/wiki?346
 454 https://wiki.genexus.com/enterprise-ai/wiki?454
 345 https://wiki.genexus.com/enterprise-ai/wiki?345",OK,lsilveira
What types of files are supported?,,"Globant Enterprise AI supports various file types across different functionalities. The following file formats are explicitly listed:

1. **Standard Document Formats**:
   - Text: .txt
   - Portable: .pdf
   - Microsoft Office: .docx, .pptx, .xlsx
   - Open Document: .odt, .odp, .ods
   - Ebook: .epub
   - JSON: .json, .jsonl
   - Comma-Separated Values: .csv

2. **Custom Formats**:
   - Custom: .custom
   - Web pages: .web

3. **Image and Video Formats**:
   - Images: .png (while not explicitly listed in the RAG formats, it is mentioned as supported in multimodal scenarios)
   - Videos: .mp4 (also supported in multimodal scenarios)

4. **Multimodal Models**: 
   - The multimodal models extend support to various file types, allowing the processing of text documents, images, audio, and video in a seamless way.

Additionally, models may have their specific file support limitations. For example, certain models support PDFs and text files but may not support images or videos. 

For more detailed information about file formats supported by specific models, refer to the supported models and file formats section [here](https://wiki.genexus.com/enterprise-ai/wiki?406) and for general file support, refer [here](https://wiki.genexus.com/enterprise-ai/wiki?137). 

You can also find details on file management and usage [here](https://wiki.genexus.com/enterprise-ai/wiki?450) and the interaction capabilities with multimodal models [here](https://wiki.genexus.com/enterprise-ai/wiki?345). 

 346 https://wiki.genexus.com/enterprise-ai/wiki?346
 406 https://wiki.genexus.com/enterprise-ai/wiki?406
 450 https://wiki.genexus.com/enterprise-ai/wiki?450
 137 https://wiki.genexus.com/enterprise-ai/wiki?137
 345 https://wiki.genexus.com/enterprise-ai/wiki?345",No,lsilveira
what LLM providers are supported?,,"The supported LLM providers include:

1. **OpenAI**
2. **Google Generative AI**
3. **Google VertexAI**
4. **Anthropic**
5. **Azure OpenAI**
6. **NVidia**

Additionally, specific models include various options from these providers, such as OpenAI's GPT models, Google's Gemini series, and different models from NVidia like Llama and Mixtral [3](https://wiki.genexus.com/enterprise-ai/wiki?153). 

 15 https://wiki.genexus.com/enterprise-ai/wiki?15
 19 https://wiki.genexus.com/enterprise-ai/wiki?19
 31 https://wiki.genexus.com/enterprise-ai/wiki?31
 153 https://wiki.genexus.com/enterprise-ai/wiki?153",OK,lsilveira
What happens after submitting a prompt to the assistant?,,"After submitting a prompt to the assistant, the assistant processes the request and generates a response based on the instructions provided in the prompt and the context available. The results are then displayed to the user. The process typically involves the following steps:

1. **Prompt Submission**: The user enters their instructions into the prompt box and submits it (by clicking the arrow icon or pressing Enter).
2. **Processing Request**: The assistant takes into account the uploaded file(s) and the context set by the user.
3. **Result Generation**: The assistant processes the input according to the defined configurations, such as the prompt settings and history message count.
4. **Display Results**: Finally, the assistant outputs the generated response based on the user's request.

This interaction emphasizes the importance of the assistant's configuration, which guides how it approaches and responds to the user's input, including consideration of context and history of previous interactions [3](https://wiki.genexus.com/enterprise-ai/wiki?69). 

 64 https://wiki.genexus.com/enterprise-ai/wiki?64
 346 https://wiki.genexus.com/enterprise-ai/wiki?346
 69 https://wiki.genexus.com/enterprise-ai/wiki?69
 105 https://wiki.genexus.com/enterprise-ai/wiki?105
 322 https://wiki.genexus.com/enterprise-ai/wiki?322",OK,lsilveira
What is the purpose of managing roles and permissions?,,"The purpose of managing roles and permissions in Globant Enterprise AI is to define which actions and functionalities users can perform based on their roles within a project. This system enhances security management by assigning permissions through roles rather than directly to users, controlling access to various actions in the Backoffice and specific assistants from the Frontend. Each project generates default roles that allow different levels of access and functions, helping ensure users have the appropriate permissions needed for their responsibilities.

For more details, see [Managing Roles and Permissions in Globant Enterprise AI](https://wiki.genexus.com/enterprise-ai/wiki?242) [2](https://wiki.genexus.com/enterprise-ai/wiki?245) [3](https://wiki.genexus.com/enterprise-ai/wiki?253). 

 31 https://wiki.genexus.com/enterprise-ai/wiki?31
 242 https://wiki.genexus.com/enterprise-ai/wiki?242
 245 https://wiki.genexus.com/enterprise-ai/wiki?245
 253 https://wiki.genexus.com/enterprise-ai/wiki?253",OK,lsilveira
How are permissions assigned to users?,,"In Globant Enterprise AI, permissions are managed through roles rather than being assigned directly to users. Here's how the process works:

1. **Roles Creation**: Each project has four default roles that allow for different levels of access and functions:
   - **Project Member**: Access to create assistants, view requests, and create API tokens.
   - **Project Administrator**: Includes Project Member permissions and allows managing project members and roles.
   - **Access all Project Assistants**: Grants frontend access to all active project assistants.
   - **Access for Project Assistants without Membership**: Provides frontend access to specific assistants without requiring the user to be a registered member of the project.

2. **Role Assignment**: Users are assigned one or more of these roles. This assignment controls their access to various functionalities within the Backoffice and to specific assistants in the Frontend.

3. **Managing Users and Permissions**: The ""Members"" section within the project allows for viewing and managing the list of users who have access. Here, you can assign or revoke roles from users. Invitations to new users can also be sent from this section, and the role assignments can be modified at any time.

This management system ensures that permissions are granted based on the roles assigned to users, allowing for structured and secure access control. 

For further details, please refer to the relevant sections here: 
- [Managing Roles and Permissions in Globant Enterprise AI](https://wiki.genexus.com/enterprise-ai/wiki?242) 
- [Managing Roles and Permissions in Globant Enterprise AI: Members](https://wiki.genexus.com/enterprise-ai/wiki?253). 

 264 https://wiki.genexus.com/enterprise-ai/wiki?264
 31 https://wiki.genexus.com/enterprise-ai/wiki?31
 242 https://wiki.genexus.com/enterprise-ai/wiki?242
 245 https://wiki.genexus.com/enterprise-ai/wiki?245
 253 https://wiki.genexus.com/enterprise-ai/wiki?253",OK,lsilveira
What happens if a user has multiple Frontend roles assigned?,,"If a user has multiple Frontend roles assigned, they will see the combined list of assistants included in all their assigned roles, even if assistants are repeated across roles. This allows for broader access to various assistants depending on the roles assigned to the user. 

You can find this information in the context piece on managing roles and permissions [here](https://wiki.genexus.com/enterprise-ai/wiki?245). 

 242 https://wiki.genexus.com/enterprise-ai/wiki?242
 245 https://wiki.genexus.com/enterprise-ai/wiki?245
",OK,lsilveira
Which embedding model is supported by AWS Bedrock?,,"The supported embedding models by AWS Bedrock include:

- amazon.titan-embed-v2 (Check the model dimensions configuration)
- cohere.embed-english
- cohere.embed-multilingual

You can find more details in the context provided [here](https://wiki.genexus.com/enterprise-ai/wiki?447). 

 200 https://wiki.genexus.com/enterprise-ai/wiki?200
 447 https://wiki.genexus.com/enterprise-ai/wiki?447
 31 https://wiki.genexus.com/enterprise-ai/wiki?31
 406 https://wiki.genexus.com/enterprise-ai/wiki?406
",OK,lsilveira
Which LLM model is supported by AWS Bedrock?,,"The LLM models supported by AWS Bedrock include:

- anthropic/claude-3-haiku
- anthropic/claude-3-sonnet
- anthropic/claude-3.5-sonnet
- anthropic/claude-3-opus
- awsbedrock/meta.llama3-8b
- awsbedrock/meta.llama3-70b
- awsbedrock/amazon.titan-lite-v1
- awsbedrock/amazon.titan-express-v1
- awsbedrock/cohere.command
- awsbedrock/meta.llama3-1-70b
- awsbedrock/meta.llama3-1-405b

This information can be found in the supported chat models section of the documentation [here](https://wiki.genexus.com/enterprise-ai/wiki?200). 

 200 https://wiki.genexus.com/enterprise-ai/wiki?200
 15 https://wiki.genexus.com/enterprise-ai/wiki?15
 19 https://wiki.genexus.com/enterprise-ai/wiki?19
 31 https://wiki.genexus.com/enterprise-ai/wiki?31",OK,lsilveira
Cuales son las api que dispone Globant Enterprise AI ?,,"Globant Enterprise AI ofrece varias APIs, que permiten la integración con sistemas de Modelos de Lenguaje Grande (LLM) y realizar acciones que modifican los metadatos de la plataforma. Las siguientes son las APIs disponibles:

Organization API
Assistant API
Chat API
RAG Assistants API
Chat with Documents API
Feedback API
File API
Puedes encontrar más detalles en la referencia de la API de Globant Enterprise AI 2.",OK,mrestrepo
